"id","city","country","latitude","longitude"
"1","Toronto","Canada","43.65107000","-79.34701500"
"2","Montreal","Canada","45.50168800","-73.56725600"
"3","Vancouver","Canada","49.28272900","-123.12073800"
"4","Calgary","Canada","51.04473300","-114.07188300"
"5","Edmonton","Canada","53.55014000","-113.46870300"
"6","Ottawa","Canada","45.42153000","-75.69719300"
"7","Quebec City","Canada","46.81387800","-71.20798100"
"8","Winnipeg","Canada","49.89513600","-97.13837400"
"9","Hamilton","Canada","43.25572000","-79.87110200"
"10","Kitchener","Canada","43.45121600","-80.49252900"
"11","London","Canada","42.98370000","-81.24930000"
"12","Victoria","Canada","48.42842100","-123.36564400"
"13","Halifax","Canada","44.64886100","-63.57532000"
"14","Oshawa","Canada","43.89773400","-78.86514400"
"15","Sudbury","Canada","46.49113000","-81.00580000"
"16","St. Catharines","Canada","43.15949100","-79.24617900"
"17","Barrie","Canada","44.38935800","-79.68891100"
"18","Nanaimo","Canada","49.16588500","-123.94009700"
"19","Abbotsford","Canada","49.05040000","-122.30413600"
"20","Saskatoon","Canada","52.13321400","-106.67004500"
"21","Regina","Canada","50.44540100","-104.61889400"
"22","Windsor","Canada","42.31490000","-83.03636500"
"23","Saint John","Canada","45.27331600","-66.06330800"
"24","Kelowna","Canada","49.88638900","-119.49401400"
"25","Thunder Bay","Canada","48.38094700","-89.24732500"
"26","Chilliwack","Canada","49.15725300","-121.95610300"
"27","Peterborough","Canada","44.30214500","-78.31936600"
"28","Lethbridge","Canada","49.69345800","-112.83410600"
"29","Kamloops","Canada","50.67452200","-120.32712600"
"30","Red Deer","Canada","52.26815700","-113.81122000"
"31","Guelph","Canada","43.55040000","-80.24822500"
"32","Medicine Hat","Canada","50.03748000","-110.67723200"
"33","Sault Ste. Marie","Canada","46.48745600","-84.34714400"
"34","Stratford","Canada","43.37011700","-80.97517700"
"35","Grande Prairie","Canada","55.16945700","-118.78824600"
"36","Fort McMurray","Canada","56.72689200","-111.38450100"
"37","Penticton","Canada","49.46220000","-119.58816700"
"38","Lindsay","Canada","44.34399100","-78.73725100"
"39","Burlington","Canada","43.32567000","-79.79936200"
"40","Cornwall","Canada","45.01735000","-74.73104900"
"41","New Westminster","Canada","49.20118800","-122.91021000"
"42","Airdrie","Canada","51.44164400","-114.01435800"
"43","Fort Saskatchewan","Canada","53.68868000","-113.21806800"
"44","Camrose","Canada","53.01789000","-112.83913000"
"45","Okanagan Falls","Canada","49.47199800","-119.55679400"
"46","Cranbrook","Canada","49.50000000","-115.77830000"
"47","North Bay","Canada","46.31694900","-79.46175000"
"48","Shawinigan","Canada","46.57735000","-72.71173500"
"49","Lachine","Canada","45.44125400","-73.68621500"
"50","Ancaster","Canada","43.20697500","-80.00976700"
"51","Orangeville","Canada","43.91604100","-80.09999900"
"52","Whitby","Canada","43.88445100","-78.94370500"
"53","Langley","Canada","49.10415400","-122.66082600"
"54","Oromocto","Canada","45.84972700","-66.12157000"
"55","Dartmouth","Canada","44.66540000","-63.56921600"
"56","Tillsonburg","Canada","42.85732800","-80.73022000"
"57","Strathroy","Canada","43.03382400","-81.63315200"
"58","Grand Forks","Canada","49.04116600","-118.43430100"
"59","Clarington","Canada","43.93053300","-78.63305300"
"60","Merritt","Canada","50.11111600","-120.77667900"
"61","Truro","Canada","45.36699300","-63.29905900"
"62","Sandy Lake","Canada","51.87000000","-99.90000000"
"63","Ingersoll","Canada","43.02240100","-80.21912700"
"64","Fergus","Canada","43.69484300","-80.37461900"
"65","Renfrew","Canada","45.46480000","-76.63111300"
"66","St. Albert","Canada","53.63416600","-113.62612800"
"67","Didsbury","Canada","51.79855000","-114.09903100"
"68","Carleton Place","Canada","45.12811200","-76.16603200"
"69","Smiths Falls","Canada","44.90062600","-76.02209400"
"70","Niagara Falls","Canada","43.08955800","-79.08494300"
"71","Brockville","Canada","44.59118700","-75.68363000"
"72","Collingwood","Canada","44.49583200","-80.21347000"
"73","Parksville","Canada","49.31669300","-124.31655400"
"74","Pictou","Canada","45.68813800","-62.98021200"
"75","Nanaimo","Canada","49.16588500","-123.94009700"
"76","Salmon Arm","Canada","50.69926000","-119.27510900"
"77","Bowmanville","Canada","43.87634600","-78.68235800"
"78","Blainville","Canada","45.65017800","-73.89749000"
"79","Gatineau","Canada","45.47612500","-75.70128600"
"80","North Vancouver","Canada","49.31672100","-123.07341400"
"81","Steinbach","Canada","49.52743900","-96.66318400"
"82","Sarnia","Canada","42.97637000","-82.38901300"
"83","Port Hope","Canada","43.94616200","-78.30086000"
"84","Duncan","Canada","48.78026200","-123.70607800"
"85","Grimsby","Canada","43.20568000","-79.56636400"
"86","Kincardine","Canada","44.17430000","-81.64680500"
"87","St. Thomas","Canada","42.77485700","-81.20321200"
"88","Coquitlam","Canada","49.28299900","-122.79515500"
"89","Coquitlam","Canada","49.28299900","-122.79515500"
"90","Kamloops","Canada","50.67452200","-120.32712600"
"91","Salmon Arm","Canada","50.69926000","-119.27510900"
"92","Parksville","Canada","49.31669300","-124.31655400"
"93","Nantucket","Canada","43.21206000","-70.11352000"
"94","Surrey","Canada","49.10405400","-122.80113000"
"95","Lloydminster","Canada","53.27126800","-110.00524300"
"96","Mont-Tremblant","Canada","46.11805600","-74.58917000"
"97","Orillia","Canada","44.60510700","-79.42349000"
"98","Bowmanville","Canada","43.87634600","-78.68235800"
"99","Didsbury","Canada","51.79855000","-114.09903100"
"100","Smiths Falls","Canada","44.90062600","-76.02209400"
"101","Collingwood","Canada","44.49583200","-80.21347000"
"102","Orangeville","Canada","43.91604100","-80.09999900"
"103","Ingersoll","Canada","43.02240100","-80.21912700"
"104","Brantford","Canada","43.19999100","-80.26377300"
"105","Gravenhurst","Canada","44.91913700","-79.36283900"
"106","Chatham","Canada","42.40105700","-82.18509800"
"107","Lindsay","Canada","44.34399100","-78.73725100"
"108","Sault Ste. Marie","Canada","46.48745600","-84.34714400"
"109","Lachute","Canada","45.66694400","-74.29777800"
"110","Hawkesbury","Canada","45.60152800","-74.64009100"
"111","Caledon","Canada","43.85465400","-79.74320200"
"112","High River","Canada","50.57538100","-113.86811300"
"113","Ridgeway","Canada","42.86227000","-78.96235000"
"114","Pictou","Canada","45.68813800","-62.98021200"
"115","Cranbrook","Canada","49.50000000","-115.77830000"
"116","Amherstburg","Canada","42.09344500","-83.21589600"
"117","Westmount","Canada","45.48408300","-73.58866400"
"118","LaSalle","Canada","45.46220000","-73.57502500"
"119","Lachute","Canada","45.66694400","-74.29777800"
"120","Oshawa","Canada","43.89773400","-78.86514400"
